epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.34936,2.04835,3.5391,2.43005,0.01399,1,0.33167,0.199,1.48237,4.45447,2.38451,0,0,0
2,4.76706,1.84211,3.47163,2.18421,0.01418,1,0.41417,0.2485,1.48905,4.36539,2.37714,6.3125e-06,6.3125e-06,6.3125e-06
1,2.07417,1.68446,4.05313,2.41171,0.01235,1,0.82833,0.44489,1.48132,4.32186,2.38155,0,0,0
2,4.24494,2.07424,4.13197,2.70031,0.01242,1,0.995,0.59682,1.51245,4.10338,2.385,1.28753e-05,1.28753e-05,1.28753e-05
3,6.32962,1.82617,4.02286,2.28446,0.01274,1,0.995,0.59682,1.48987,4.08367,2.38571,2.29212e-05,2.29212e-05,2.29212e-05
4,8.31644,2.20968,4.23583,2.79015,0.01282,1,0.995,0.59683,1.45444,4.06559,2.35841,3.01376e-05,3.01376e-05,3.01376e-05
5,10.2717,2.10649,4.26201,2.79712,0.01299,1,0.995,0.59683,1.42907,4.14313,2.33382,3.45246e-05,3.45246e-05,3.45246e-05
6,12.3815,1.84333,4.03668,2.32477,0.01379,1,0.995,0.59685,1.43137,4.06814,2.31507,3.60822e-05,3.60822e-05,3.60822e-05
7,14.3101,1.6285,3.85673,2.29534,0.01439,1,0.995,0.50777,1.46276,4.02194,2.3442,3.48104e-05,3.48104e-05,3.48104e-05
8,16.2773,1.81188,4.48225,2.41853,0.01481,1,0.995,0.46293,1.4732,4.01596,2.35242,3.07092e-05,3.07092e-05,3.07092e-05
9,18.3557,1.65918,3.74057,2.19358,0.01481,1,0.995,0.58038,1.47493,4.0232,2.37382,2.37786e-05,2.37786e-05,2.37786e-05
10,20.2565,1.8846,4.00737,2.43408,0.0155,1,0.995,0.5804,1.47275,4.01413,2.38794,1.40185e-05,1.40185e-05,1.40185e-05
1,10.8444,1.68446,4.05313,2.41171,0.01235,1,0.82833,0.44489,1.48132,4.32186,2.38155,0,0,0
2,24.6347,2.07424,4.13197,2.70031,0.01242,1,0.995,0.59682,1.51245,4.10338,2.385,1.28753e-05,1.28753e-05,1.28753e-05
3,36.2186,1.82616,4.02286,2.28446,0.01274,1,0.995,0.59682,1.48987,4.08367,2.38571,2.29212e-05,2.29212e-05,2.29212e-05
4,50.2754,2.20967,4.23583,2.79014,0.01282,1,0.995,0.59683,1.45443,4.06555,2.35843,3.01376e-05,3.01376e-05,3.01376e-05
5,58.3941,2.10654,4.26181,2.79717,0.0129,1,0.995,0.59683,1.42905,4.14315,2.33389,3.45246e-05,3.45246e-05,3.45246e-05
6,65.2003,1.84329,4.03672,2.3247,0.01379,1,0.995,0.59685,1.43132,4.068,2.3151,3.60822e-05,3.60822e-05,3.60822e-05
7,74.3075,1.62879,3.8561,2.2998,0.01429,1,0.995,0.50776,1.45993,4.02098,2.34272,3.48104e-05,3.48104e-05,3.48104e-05
8,84.4704,1.81662,4.4714,2.4203,0.01471,1,0.995,0.46292,1.47631,4.02393,2.35454,3.07092e-05,3.07092e-05,3.07092e-05
9,93.5587,1.65825,3.74526,2.19239,0.0146,1,0.995,0.51423,1.46299,4.01866,2.3867,2.37786e-05,2.37786e-05,2.37786e-05
10,104.774,1.89046,4.01965,2.42741,0.01515,1,0.995,0.58039,1.46837,4.00526,2.38156,1.40185e-05,1.40185e-05,1.40185e-05
